,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aseries>,-2.4348254,2.7636354,-2.3907583,-3.5074148,2.4137118,3.630688,3.6148238,2.8515058,2.4202728,-2.0315077,-2.8634486,-2.7997565,3.7882142,2.0799465,-3.32248,-2.0665526,-4.169469,3.0402248,3.8282878,-3.4373865,-1.9330657,3.2044678,4.139115,1.180723,-1.6525108,2.997448,-1.6840799,-0.7275254,-3.1340775,-3.527862,-0.10083512,-3.618353
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,0.4417311,1.3936019,4.082218,0.5514562,-1.8390361,2.3744192,1.132394,1.5052423,-0.15732646,3.7457292,3.2347553,-1.3865759,1.2312019,-3.1260574,-2.1285985,1.8303537,-2.298578,1.1423913,2.1500213,2.6895442,4.256899,1.7065046,0.29235995,0.90081155,-1.5094028,-2.232102,3.2505019,1.3283451,2.7804441,-3.5600214,1.9748411,-2.6035075
<http://RrvHtZFy.org/QcWLWrHHWLX>,-1.4967059,-1.505027,0.7961661,-1.9210149,-0.87360096,-1.1986928,1.023041,-3.8549442,-0.47218373,-2.9027672,2.3173635,0.6344582,2.645766,-2.2810907,-2.779887,-2.570169,-0.1988253,0.34502882,0.81526595,-3.8252974,2.8589764,0.9848225,-1.8844596,2.7200868,1.2872195,-0.9389575,1.2712324,4.5926175,2.1294038,-0.3107571,2.4610198,-0.5659967
<http://linkedgeodata.org/ontology/nuclear_explosion%3Abody_wave_magnitude>,-2.2478504,2.8703568,-1.2768289,-2.249311,1.5212244,2.3403945,2.8415534,-2.9327757,-2.073103,-3.132476,1.2290455,-2.136052,-2.1648688,-2.477021,-4.1486473,-2.6313353,2.690968,2.1432204,-1.3263608,-2.8972757,-0.08462787,-2.7031631,0.01530039,-2.5211074,-3.2855875,-1.9404205,2.805621,-1.9907254,2.6134834,-3.0402813,2.4903102,2.4045398
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adate%3Autc>,0.820022,-3.9473073,3.9089744,-1.8444573,1.2550917,2.0237,1.5299644,-1.6500871,2.4302227,3.3437119,-1.913143,-1.7178901,1.640486,2.770222,0.72812533,-3.8024077,1.5145991,-2.2388577,2.9294286,-0.46692613,3.3124282,2.2298412,3.3779862,-1.8675781,2.2127898,-2.6222332,-1.172645,-2.5544102,-0.6255026,1.5327162,2.228807,-1.7911472
<http://linkedgeodata.org/ontology/nuclear_explosion%3Apurpose>,3.1879964,2.8332958,-2.8831773,-3.7744775,-3.5055149,3.8040922,2.0543315,3.1439054,-2.0569618,2.9188476,-3.1217186,2.5880187,-3.7607586,3.4234164,2.5212936,-3.179627,2.2355924,-2.7330348,2.9259598,2.6355882,3.2605343,-4.3274813,-2.6004043,4.0290966,-3.1835804,-3.1236172,3.5087938,-3.2763133,-3.112295,2.8985183,0.1656974,3.2952313
<http://linkedgeodata.org/ontology/gadmSameAs>,2.3248217,-3.5752258,2.9512994,0.27756372,2.2487166,0.95681506,0.67322594,-2.1236682,2.4972634,1.7304395,1.9849803,-2.0069203,-3.061893,0.8132472,-2.8983555,-3.2354221,-1.7978626,1.3987813,1.681409,2.2930129,3.1741064,-2.5250797,2.5382583,1.2268394,0.43953797,3.0800037,-1.2407032,1.9350581,1.8205309,1.4594247,1.6014738,2.6702242
<http://geovocab.org/geometry#geometry>,-2.6330004,1.4879338,3.9340127,-2.3241403,-2.3646164,-2.2246847,2.467285,1.9253107,2.1723487,1.2139015,2.353995,0.044261917,-1.4993138,1.8484098,-2.1492093,1.2453442,-0.5247956,-1.7120583,-0.6011238,-0.9697325,1.5957603,1.2875742,2.9222152,-2.4917555,-1.1959273,-1.3083148,2.3198845,2.3406684,-1.0610286,-1.0485976,-1.2033871,1.8883809
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asalvo>,2.7980108,2.370965,-1.1852977,3.1644154,2.404647,3.0732868,1.656058,2.8408449,-2.2280986,7.540272,2.753689,0.14870808,-3.8021553,2.7997487,-2.7064686,1.53432,2.9151475,4.4707584,-2.6706364,-3.7794755,-2.0425277,-1.4985071,-1.8269333,-2.6619396,2.5639882,2.7186236,2.6472068,3.719486,-3.6350715,-3.6968267,-2.0139983,-2.2252688
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,2.8335562,2.492677,-2.2466068,2.499428,3.1834376,-1.8421487,2.6948092,-3.017641,3.8313322,3.8119452,-3.1198528,-3.5505111,2.6375804,-2.2710752,2.1067672,-3.2096567,1.8840501,-2.8096714,2.2972162,3.5660443,-3.085705,2.3501194,-2.762722,2.7053626,2.2245183,3.868392,-2.6413088,-2.783264,-4.324709,-4.3726025,-2.9171286,2.5184283
<http://linkedgeodata.org/ontology/version>,0.7752392,1.5897336,0.7814299,1.1430407,-2.039549,-1.3266634,-4.2715197,1.4478152,4.73782,1.9392008,-4.552923,3.7819455,1.2832608,-0.88233185,-2.5998845,-5.4160814,-2.6162813,-0.6075346,-4.77453,-0.030224819,-2.2414627,-4.616962,-0.8931627,-2.504888,-2.451491,1.819935,3.760488,-1.3211393,-2.1990807,2.1552932,4.3845835,-4.7299356
<http://purl.org/dc/terms/modified>,-2.7658434,-0.17864275,-1.3602984,0.23262459,-3.6303093,2.3214717,1.8780801,3.0222669,2.8579736,-2.0348647,2.8408678,-3.9147043,1.8759209,2.0719755,1.7048166,2.0653453,2.2899442,2.3809261,-2.2782505,-2.7214239,-1.3373628,-2.3647332,-1.9158756,2.381978,-1.7054434,-2.2906086,-3.0569506,2.3778605,-2.1946216,-3.0344088,-1.3442413,1.5440736
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ayield>,-2.2561438,2.557255,-0.85134256,1.7161096,2.174471,-2.6833048,1.2468112,-1.6029606,-2.6552174,-2.1468158,-2.2115202,3.049105,2.1650033,2.604782,1.6596924,1.6692063,-2.4218595,-1.9345309,-1.9933132,3.2380655,4.567554,-2.9419773,3.4105043,-3.9956381,2.3633702,-1.5890529,-1.8820549,2.5652208,-2.9836187,2.2524009,-2.2566793,2.4794514
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,3.3579056,-3.6982436,3.1351552,0.5861444,2.4076998,-2.6337304,-2.136551,3.487208,-1.249012,2.870067,-1.4572182,2.6993785,-1.3704237,-3.2956793,0.90518224,-0.6392196,-1.1713123,1.1624409,2.3297098,-2.5033696,0.18497299,1.4440887,4.2569366,-1.7835221,-1.0855936,1.7972142,3.4852605,-0.7221157,0.52083147,-2.2267087,1.9502673,-0.77774763
