,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/nuclear_explosion%3Acountry>,2.6582327,2.2927387,-2.0095677,-4.0593643,2.3369155,-3.6029096,2.5315833,2.3998249,2.9138527,-3.2548172,2.619378,3.1148505,-2.8378823,3.3610778,-3.709686,-4.149775,-3.0901086,-3.5632,-2.5274093,-3.0855856,-3.03685,2.803328,2.868231,2.5381582,4.052773,2.0417666,3.3088596,3.156704,3.3653688,2.635676,2.5894344,3.1057637
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aheight_of_burst>,-0.9811108,-1.0285772,-1.8597051,-2.6407804,3.540558,2.0612893,-1.9707583,3.8428366,0.15692167,0.47264162,0.35781544,-2.4906683,-2.2424722,-1.5437112,1.6476117,1.1419182,-1.9426033,-1.9646273,0.58975416,-2.0624266,1.8774413,0.88396096,-2.0748641,1.8675125,1.5342051,2.5622995,1.45691,2.8057003,-1.3759663,2.9994109,-0.24050203,0.58322257
<http://purl.org/dc/terms/modified>,-2.319789,2.8397968,-1.7072448,-3.1253865,-2.1895165,1.3887125,-0.884198,-0.18103305,-0.21037827,-0.069777176,1.9908081,-1.6014084,2.2632048,-2.929042,-2.3161132,-2.206638,-1.4939426,0.13547191,-3.6026495,-2.0903592,-2.129004,-1.5703063,1.9969326,-2.5156026,1.8266766,1.9322139,-1.3166372,3.270707,-0.85077506,1.5961571,2.2361295,-2.2457078
<http://linkedgeodata.org/ontology/nuclear_explosion%3Awarhead>,0.57484347,2.7243915,3.6458545,3.2824244,1.5809709,-3.7227635,1.1297094,1.3538566,-1.9993207,2.841688,-2.82641,-3.7312543,3.2258487,-1.7237301,-1.7765782,1.8952975,3.5345397,2.9583404,-1.6221217,0.04719748,-1.5947828,-0.2578931,-2.5426576,-2.9589806,-1.5177872,3.6037266,3.1102269,0.18890685,-1.989864,-0.53299254,-1.5901129,-3.6174653
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ayield>,2.3118722,-1.9208143,-2.217428,0.24533533,-1.6750302,1.8869563,-2.5476947,2.3412528,-0.9318139,1.9000919,1.2227646,0.086478464,2.9918604,-2.83525,-2.9610882,-1.3043101,2.629807,1.8886157,3.4091272,-2.3932555,1.4183991,3.3884583,2.6848767,-3.5651462,3.2918367,3.127526,1.8989385,-1.0006331,-1.3838233,-1.5330782,-1.8346671,1.3697723
<http://geovocab.org/geometry#geometry>,-1.7054167,2.3346212,-1.0859097,-0.97682637,2.4825778,0.7815452,0.67948955,0.60621023,2.862009,-1.1064286,-1.9065996,2.0638924,-2.2778678,2.1457047,0.20863803,-3.7190304,1.9273926,0.6938968,-2.461479,2.2659519,-3.1729312,-2.0389917,0.26753235,1.1885833,-0.27924657,-2.0510874,-0.400076,-1.2031337,-1.9297355,-2.1506193,-1.741795,-2.5553086
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adate%3Autc>,-1.5748025,-2.048643,1.4005859,-0.75804865,-1.4006156,2.4599135,2.757276,2.1554892,1.33546,2.1112578,1.025023,0.6212188,-1.6009514,-2.3579412,0.9753885,3.1169014,2.4646232,-2.5214627,2.8962305,-2.6296954,-0.9716454,2.200082,-1.4677781,-3.07908,-0.31634653,-1.6672981,-2.4877625,-2.096538,-1.6885427,-1.3921413,-2.1901376,1.1348811
<http://linkedgeodata.org/ontology/gadmSameAs>,-0.6109119,-2.7656221,1.0184526,1.189866,0.81443244,-1.6050332,2.4325666,-3.3220043,-2.1173298,-2.2786334,0.6872762,1.3658047,-2.0082946,-0.75152576,-1.090629,-1.899735,-1.0070342,1.5320741,1.4621308,2.1651828,-2.4983082,3.061006,1.8844625,-2.3572714,1.9114842,2.5300727,-1.066023,-3.018155,1.1896957,0.41958657,2.4952807,2.4953163
<http://linkedgeodata.org/ontology/nuclear_explosion%3Apurpose>,-2.4788654,3.4765835,2.540477,0.14321013,2.03011,3.0504572,-0.67773986,-3.0286908,-3.371845,2.8126843,2.5363123,3.5317755,2.9327636,2.7400296,-3.0485427,2.4806795,-3.4105594,2.3993201,-3.381607,3.0627718,3.5156255,-3.2305353,2.6959133,2.7713108,-3.8717394,2.7414167,-2.674617,-2.654998,2.3539724,-2.0703416,2.751609,3.1062148
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asite>,3.5195518,-2.4754426,-0.69566834,-2.7402146,2.1449003,2.0279822,-2.6644912,2.0074391,-2.4330332,0.8536534,2.0769653,1.2509856,2.7701168,-2.6959252,-2.5673575,-1.8038716,2.54578,3.0397725,-2.355286,3.7283828,3.67099,-3.4524803,-2.6026993,-3.2202594,2.3778021,-2.612059,1.8078222,2.3038137,2.479774,3.255208,2.6941304,-4.1400547
<http://www.w3.org/2000/01/rdf-schema#label>,-0.41880688,1.4445986,-0.0695075,-2.783873,2.9191918,2.1767738,-2.7674625,2.6741292,2.8293555,-2.65774,-1.3301996,0.6605567,-3.1634812,2.4949222,1.0951052,-0.05362125,-1.9106568,-1.8352244,-0.23792627,-1.5256423,0.7760395,-0.085129075,-2.6101575,-1.7501924,1.9749113,0.21044898,-0.9018595,3.6598177,2.7671971,0.35393536,-0.3021219,-2.9654403
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aseries>,2.3223534,-1.8211478,3.4211926,3.2481995,-1.4602065,-3.2246253,-1.9695046,-3.2140865,-2.2569833,-2.4626608,-2.3095772,2.4616387,2.817089,-2.5358577,0.4744518,-0.47034165,2.8045368,-2.7434654,-2.8283238,3.0515707,2.0823007,-2.7421973,-2.5993636,2.239503,3.0017397,-2.495414,4.1123195,-2.1861248,2.7065268,-2.489965,-2.2479892,-2.505881
<http://linkedgeodata.org/ontology/version>,1.4963483,-2.6847355,-3.4311569,-2.811133,3.0153103,3.3136144,1.8676769,4.378623,3.4096265,-2.2847974,2.3906837,-2.6455917,-3.1183052,0.38182202,2.8082216,2.384366,-4.293183,1.5818216,-2.798207,2.6921315,2.5837972,-2.055336,2.0921476,2.9139016,-1.7289094,2.0236173,4.0558434,-0.68728864,-2.689275,-1.774396,1.9803848,-3.3364336
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atime%3Autc>,0.36600187,-3.2983882,1.3693789,0.9237762,1.6943932,2.5012302,-2.5798974,0.50775653,-2.5430613,2.4569032,2.4435003,2.0310836,0.7522364,2.0334072,-3.0253518,1.1414758,-2.2670872,-2.6372805,0.7824932,0.61471564,-2.6092834,1.4742974,-0.9770894,0.84446573,-2.7877948,-2.7863934,-1.7850184,2.6144202,2.0982568,0.11245371,-0.5878299,0.2577434
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ashot_name%3Aen>,-0.51274616,1.2596029,0.050639886,-2.732302,2.9001937,2.1923964,-2.6089144,2.7159178,2.7616355,-2.8111308,-1.4710983,0.5357082,-3.1456225,2.4745688,1.1273898,-0.12880184,-1.9070488,-1.8361284,-0.15897474,-1.5751371,0.8686641,-0.1713291,-2.525622,-1.6683496,1.8743356,0.19862066,-1.098638,3.632706,2.705877,0.3478189,-0.3764124,-2.8730104
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-3.25025,0.40233713,1.9240781,3.0331647,-2.3297195,-2.9281633,-3.9048443,3.5340807,-3.5878093,-2.3554544,-3.6916053,-2.5915494,3.3342392,-3.0911229,-2.4701612,2.875721,2.618736,-0.08159122,2.1550035,-1.4825608,2.5079195,3.530981,2.3454788,1.9908773,2.3241396,-3.2282088,-2.826313,-2.3903499,-2.6907237,-3.317488,-3.6465607,-3.1617696
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,-1.7425047,2.6853256,0.76617116,1.4573092,-2.1969428,-2.0182974,2.0673516,-2.2087052,0.79030854,2.5583823,0.96658736,1.5510414,3.4864802,1.8777268,-2.0425196,2.340867,1.434545,-2.279966,1.3144847,1.5199343,-2.0680523,-2.0353372,-1.5882486,-1.0955365,-2.0433044,-1.4475219,2.5470638,-1.4984474,-2.0895886,-1.6217684,3.014041,-1.3385379
