,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/changeset>,1.3446937,0.4361079,-3.8887358,-3.2762778,3.2705712,-4.045584,2.9021714,2.7343612,3.2864172,-0.2774165,4.040052,1.9277121,-2.6205428,3.661979,-4.9974246,-3.7491987,-3.2134736,-4.478775,2.1187124,-2.0205998,-2.8321438,2.646336,0.6975571,2.0149064,4.3932943,3.2341702,3.6945891,3.4962587,2.674914,1.2575305,1.5019087,4.070824
<http://geovocab.org/geometry#geometry>,-1.8519523,-0.32188344,-3.0444915,-0.7210428,2.2840333,1.922285,-1.4979434,1.8889006,0.0050033857,2.5166564,2.595231,-3.1196175,-1.507015,-1.7794416,-1.5079411,2.1167564,-3.514096,-4.556283,-0.316802,-3.4940727,1.6510794,1.6708332,-1.4281557,1.1303465,2.2889795,3.1976917,2.0513613,3.5121896,-1.8191845,3.216608,-0.83758026,2.541468
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aheight_of_burst>,-2.9012914,2.704237,-2.3759046,-4.274617,-3.3454688,-2.4578314,-1.0827434,-0.14217965,3.3433418,0.4382639,2.180244,0.6665906,1.7948807,0.7356773,-2.2768767,1.1307496,-4.337833,-3.0406086,0.78252393,-1.4126745,-0.83240587,-4.9795794,0.9760793,-3.3163903,2.609002,-0.3925893,-1.0169629,5.195155,0.57826614,2.0784025,-1.3395774,-3.3659482
<http://purl.org/dc/terms/contributor>,0.67440015,3.3619,2.5018394,3.9230313,-1.5742116,-3.236029,2.2302756,3.6127,-2.2247107,4.396868,-0.17180504,-3.4702625,1.7272918,-2.2640488,-4.769311,3.3259506,1.9739584,2.3443944,-1.7308265,-1.1613022,-2.5005937,2.6200187,-3.0267577,-3.0201166,-1.6974607,4.4437633,4.0087733,3.891298,-2.8285947,-3.3461616,-3.3735917,-3.209843
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atime%3Autc>,2.3578072,-1.4053984,-4.774022,-0.34231827,-1.7384003,3.057716,-1.5614004,2.7057707,0.12967964,1.5425504,2.5850172,0.39517093,3.2744858,-2.9456103,-3.9246726,0.35541037,-0.25359884,0.5408736,3.6931713,-4.1539636,1.425954,2.645467,3.8229115,-3.2828548,3.5027196,4.112126,1.721962,0.12103705,-0.5841061,-0.7719481,-0.45587268,1.9099
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asite>,-3.779134,3.0694854,-1.353198,-2.2434125,3.3809273,3.1973138,-1.9477819,3.7725022,4.107828,-2.1629975,-1.5052588,3.4226472,-3.6754787,3.5566723,0.9881002,-4.415783,1.2951028,2.2526724,-3.0299704,3.4046373,-3.4135296,-3.0739686,-2.2828813,3.3876538,-2.5890703,-2.838273,-2.1975732,-0.18979888,-3.3571987,-3.0907314,-3.5362976,-3.8981743
<http://linkedgeodata.org/ontology/nuclear_explosion%3Acountry>,-4.2771463,-3.2602954,-2.35002,1.9233787,-2.4494991,3.8573039,3.0546741,3.8357666,3.072603,3.59843,4.227884,4.0528817,-4.380215,-2.7794566,3.2212167,4.2160807,2.3494015,-3.8844352,3.8178377,-3.2605023,-1.2796565,3.5083454,-3.2425349,-3.4080935,-3.8048563,-2.0329442,-2.9475977,-2.8308444,-3.3790057,-3.0435767,-2.9088626,2.5003452
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-4.1631045,-3.5201588,2.3789992,-0.12728295,2.1234903,-3.2846787,2.878207,-2.9781747,-3.1386664,-2.692667,3.671067,2.2555628,-3.8356757,-1.9260439,-4.6655545,-2.6300552,-4.575782,2.1986256,3.5690904,3.5884967,-3.3312654,3.2215426,2.7992883,-2.7064154,3.8382561,3.9999502,-1.1373072,-3.304874,-2.9504092,-4.6146493,2.581072,3.1222496
<http://linkedgeodata.org/ontology/gadmSameAs>,-1.6352971,2.6054285,-2.6286745,0.40525538,1.2718194,1.2434596,-0.42824247,-1.2508721,0.22752215,3.506096,3.3534486,1.9275439,3.1486602,2.8502483,-3.598901,2.6696556,-4.711414,-1.7362622,-2.9505444,1.0468266,3.8203712,-2.8813052,2.7235062,2.4393036,-2.6717036,2.505901,-1.4820127,-0.6413757,1.8159573,-1.0120081,2.6225977,3.866783
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aseries>,3.6710954,-3.0210302,-4.0004787,-3.3357913,2.5105896,2.3949168,-3.521335,2.9943485,-0.81664807,-0.8278611,3.4964933,1.4099212,2.9776354,-2.595681,-4.1433177,-0.6164001,0.9515961,1.4868884,-1.9737829,3.0558412,2.7104385,-4.2536926,-1.9039444,-2.9723704,4.1953664,-1.6259172,3.1221895,3.8030174,2.7784123,3.9460368,2.2093523,-4.7734294
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,1.4876484,4.857639,-3.9302511,-3.0465539,2.9202557,3.2085826,-2.666447,3.3773038,3.2741544,-1.1781644,2.9144971,-1.7303134,-2.0581717,3.1802607,-3.7409365,-0.45143652,-1.0494086,-0.67892224,-2.9131072,0.3055158,-2.0028398,2.1806862,1.2634993,-0.11620205,2.9204988,2.2750635,0.75449026,4.1683817,1.7488614,-1.6599841,1.9602233,-2.7144518
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atype>,4.275613,-2.9162388,3.214398,3.288533,-2.3725693,-3.7304456,-3.557251,-3.2938356,-1.3264732,-2.0849366,-1.4142303,2.3260822,3.575313,-3.465816,2.980932,1.7611527,2.2251709,-3.8860896,-3.1139839,2.973764,3.24879,-3.7337575,-2.8495986,3.1138163,3.7362397,-2.7493458,4.8306227,-1.7918433,2.5693326,-3.051367,-2.6728501,-3.1096132
