,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/boatyard%3Atype>,0.7885908,-0.8357011,-0.22939241,-0.072163045,2.975064,1.2603251,0.3232266,-1.0122191,1.0310637,-1.7623751,0.5910898,-0.53337675,2.5117524,-0.9620545,-2.3255937,1.2706661,-3.362282,-0.85375524,0.15179965,-3.6974154,-1.2692575,-0.20633087,-0.22515588,3.8852522,-1.1544509,1.9497931,-2.0948484,3.9454515,-1.0374649,-2.7711945,-0.23342332,-1.5628848
<http://purl.org/dc/terms/contributor>,-1.2080017,1.7307582,1.5095013,2.4774196,-1.769756,2.0433838,-1.6793554,-2.2640462,-1.8939583,3.024872,2.5048378,-2.780339,2.1382134,2.1584666,-1.3116481,-1.7754912,2.2024806,1.3092766,3.523491,0.5050422,-2.74589,-1.7578952,3.0730548,1.1746925,-3.441095,1.9720914,-0.78235745,-2.309264,2.2966373,-1.3499304,1.007289,-2.2360122
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-2.374837,1.9232593,-2.3633173,-2.412231,2.2821565,-2.6253316,3.1956275,2.3448646,3.0726998,-2.9507508,3.015338,3.9275942,2.5607073,-2.4274447,2.028074,2.859438,2.9960315,-1.2343559,2.3259237,-2.3137631,-2.6103208,-2.8441846,-2.6458454,2.7533593,2.0053763,-2.6386716,2.5563047,2.291138,-2.706685,-3.2560782,1.5377777,-2.605949
<http://www.w3.org/2000/01/rdf-schema#label>,3.4400034,-1.3554529,-0.3102135,-1.5801451,-1.9627509,1.9149231,-1.5134416,0.43547335,2.3350995,-1.6359655,1.1428418,-1.6488822,-1.3543258,-2.4481356,3.9849315,2.162248,-2.2539213,-0.21208747,3.2019625,1.6090752,1.754581,3.599383,-1.5834905,-0.39213043,-2.57433,-1.7098614,2.5234504,-2.775023,-3.2320282,-1.8747015,1.2818086,-1.6641483
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,-1.5857089,-1.8222796,2.247054,1.7685242,-1.7951847,1.9661813,-1.6619363,-0.2458235,-1.1720389,2.1929512,-2.9625778,1.5775179,-0.9384396,2.7437813,2.0644724,-2.2119465,0.9112688,1.2837569,-2.3886273,1.8373923,2.7730958,-2.1100307,2.207427,-2.7560916,0.6795767,2.5742483,-1.1841121,0.99466485,2.6387975,4.984735,-1.6498678,1.7917717
<http://linkedgeodata.org/ontology/gadmSameAs>,-2.0090952,1.732058,-2.5981512,-2.3300087,0.7894645,1.8776397,-1.6369424,-2.9589374,-3.7883847,2.112291,0.37434074,-1.4717537,-1.2061958,-1.508562,-1.8600934,1.3140591,1.0790459,3.788645,-2.0183465,1.8167343,1.9126456,2.6749058,-1.8088212,1.971453,2.689208,-1.114736,-2.2755623,-2.5896714,-2.0414188,1.6660638,-1.7228099,3.0065863
<http://purl.org/dc/terms/modified>,2.2047477,-3.0989106,-2.1504316,-2.6904564,1.5911381,-2.6011205,2.306696,0.72222865,-1.5142872,-2.7741375,2.524469,-1.4919977,-1.685824,1.6515249,-3.161358,2.7767882,-1.3766036,-2.6615448,-3.1557703,-1.3441615,1.4262084,-1.7060086,-2.4903197,1.7706907,1.7197527,-2.0546944,-0.4534019,1.1619772,-2.0500848,-2.6656392,-0.20413204,2.2366536
<http://linkedgeodata.org/ontology/seamark%3Asmall_craft_facility%3Acategory>,0.9611321,-2.2913249,-3.3408566,-0.3970102,-0.41181538,3.668613,2.0094144,-0.99997425,-1.7307227,-1.1018468,1.1717895,1.6644726,-2.6843045,-1.2873181,1.2696964,0.19771299,-1.2246404,-3.539004,-0.57097596,1.3090698,-0.79133713,-2.4050634,-0.5933618,-1.3530482,1.5250267,-1.9619638,3.4578655,0.51839155,-0.76888525,0.58427227,-2.4757736,0.667264
<http://geovocab.org/geometry#geometry>,2.197217,2.9547849,-0.5120416,2.7926552,1.7641947,-2.76399,0.20456582,-2.4058585,1.5694172,0.8395325,-2.1543195,1.2438267,2.9197385,3.0129294,-3.1047146,2.0763984,-1.9908484,0.44572213,0.67725205,-1.0171691,0.06080216,-2.5273945,0.83364755,-2.7690628,0.0743926,-1.7520429,-1.5090969,3.0929017,-0.54479575,-2.135526,1.9360846,-2.2431197
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,-1.8443793,-1.9720678,3.5461211,-1.9047015,1.7830553,-1.4353048,-2.4836147,-2.567857,2.2864025,-2.1010058,1.3795035,1.9422619,1.7401642,0.9528881,5.3171754,-0.6759116,1.7965336,2.262871,2.4819815,1.9709696,1.5215127,1.6938382,-2.2376714,0.5665328,1.0857803,1.5696002,-0.8219537,1.0968581,2.8334148,-2.4992416,-2.0849464,-0.059665967
<http://linkedgeodata.org/ontology/changeset>,0.52072865,3.045169,-1.4308233,1.8946728,1.8683854,-1.5018053,1.1801857,2.4252446,-2.6004908,-2.2068927,-2.7459679,-1.9638273,1.0501878,-1.8240714,-1.7176594,-1.5838622,0.7890024,-2.6566513,-3.3299313,-2.4573164,-1.8375635,-2.2419205,1.472969,1.6895196,1.0124162,2.5291147,-2.3923247,2.797567,-3.2166283,1.42361,3.1848316,2.4705727
<http://linkedgeodata.org/ontology/contact%3Awebsite>,-0.3398485,-3.387351,-0.7728057,-1.3493567,-2.7147207,-0.48657638,-1.037307,-1.888958,0.9192091,-1.2906988,1.2621082,-1.9068832,-1.949558,-2.942526,-1.3187156,1.1371694,-1.6684703,0.35646504,-0.6707897,0.9250765,-2.1927998,-3.5812137,-2.4661326,1.8238391,-3.733895,3.3381748,2.2877672,-1.731185,2.105833,-2.061936,1.6628467,-0.90498114
<http://linkedgeodata.org/ontology/seamark%3Atype>,-0.08642286,-1.405097,1.2043698,2.634685,-1.7587825,-0.9630711,3.266763,0.53433406,2.6203434,0.7397589,1.466154,-3.1402369,-1.9536017,2.3623345,1.5501064,-2.0973055,-0.41601926,2.8393993,0.33626035,-2.6043816,-1.8100013,-1.1357335,-0.7553819,0.9007698,-0.3681802,0.8811381,-0.4541498,1.425309,-0.03459734,0.62210935,0.45148796,-0.940075
<http://linkedgeodata.org/ontology/operator>,1.2567093,-0.33996326,-1.7418339,-2.2639189,1.7225634,3.149524,0.27976632,-0.8570125,2.5498583,1.7007402,-0.40313265,-1.1059955,-1.3589575,0.8366739,-2.695508,3.3131943,0.5995187,2.5503294,-2.4346263,-2.1323614,2.056771,2.7206976,-2.1481335,-3.0027585,-3.1354544,0.7287892,2.903725,-2.1126115,2.1653817,1.2575719,0.83672655,-3.2509966
<http://linkedgeodata.org/ontology/version>,-1.9931823,-2.1085095,-1.6823457,2.179825,-2.6322417,3.49776,-1.461109,-3.1555328,-0.3688103,3.8199158,-2.3853636,2.8533516,-3.5229423,-1.4813803,-3.3332071,-4.509185,2.876789,3.3910346,2.6224506,-0.035340324,0.4035905,4.077717,3.6479654,3.4677927,3.483727,-0.76315296,1.0877932,2.466014,3.4365695,2.1175005,-3.2874372,-2.4324014
<http://linkedgeodata.org/ontology/addr%3Astreet>,0.34181088,2.0215485,-1.6275464,2.625716,2.230532,2.923047,1.8243423,3.2950706,0.18483467,-2.0095804,1.5773295,1.7811204,0.87551016,-2.1247299,-0.5749483,3.0442708,-2.7682421,-0.07123414,1.7509863,-0.3210353,2.459939,3.006393,1.6887503,-3.580562,0.21654382,-2.9628086,-2.8005853,-0.8781971,-2.1064117,1.4683616,-3.0783796,2.782437
<http://linkedgeodata.org/ontology/addr%3Ahousenumber>,0.07868348,0.5831022,-1.9742366,1.1698059,-1.9826431,3.139052,0.504925,-2.5974283,-1.3443313,3.218879,-1.5968384,0.62600636,-3.1986225,-0.80942816,-3.0743933,-4.409988,1.6162612,2.9229193,1.8855358,1.4734354,-0.5758747,2.9388938,3.2170434,3.349501,3.1774962,0.47776482,-1.4782261,1.8082576,3.495125,0.6126839,-2.723714,-0.34054986
<http://linkedgeodata.org/ontology/addr%3Acity>,-2.0174322,-2.6469798,-0.7928061,1.2491277,1.2303495,1.0611862,-2.0906012,3.0777926,-3.6990712,1.4925525,1.6026164,1.9414746,2.1120474,3.2760375,2.3827515,-0.9392556,2.225304,-2.40427,2.8262098,-2.6144907,-2.223204,-1.5409575,-1.632458,3.381823,-2.7081337,-1.4960093,-0.74395347,-1.7996646,-2.3010402,2.4161289,-2.138182,1.2869179
<http://linkedgeodata.org/ontology/note>,-0.42472067,1.6154444,-0.7643303,-2.4269722,-1.2653505,0.7971038,-5.1468654,-0.5450797,0.8404426,-2.7606447,-0.09301263,-2.303967,0.38537183,1.6923754,3.724106,-2.2099218,-0.84996665,-0.23666646,0.04811087,1.1235417,-1.6208762,0.8627609,-0.8009826,4.2302446,-2.002346,-0.06807672,-2.3470278,-3.9786496,2.254071,1.7786351,2.4738257,-2.607243
<http://linkedgeodata.org/ontology/note_1>,-0.48483709,1.2397597,2.351494,4.42765,-3.5067549,-1.6093947,0.6757537,-0.5843795,-1.4072487,2.2799628,3.8975413,-2.6317148,2.1125786,0.8572328,-0.4192609,-3.5560384,-2.1503792,-3.5231164,-3.052367,1.4657109,-3.1587207,-2.614864,-4.0262713,-0.38458085,0.38181314,-1.3973835,0.8664061,1.1520996,-0.22664985,-3.4465842,-0.25230068,-1.047201
<http://linkedgeodata.org/ontology/contact%3Aphone>,1.1531574,3.2356403,-2.2903588,1.5919205,1.6818359,1.1391433,1.1848215,1.9728842,2.1615477,1.4824347,-1.0960419,0.043190885,-2.0888348,3.1636748,3.8828654,0.5348858,-1.617809,-2.9426029,-2.7548063,-1.5999101,0.9936047,-0.6113697,1.7758279,1.4044918,-3.4205542,-1.3568884,-1.7408252,2.1798677,3.8983517,-0.062272385,3.0078928,-0.40143508
<http://linkedgeodata.org/ontology/addr%3Acountry>,2.00878,2.5961187,-2.9075496,-4.178775,-3.619943,-2.7404325,-2.0391617,2.8900142,2.108143,-3.2675905,2.5698807,0.8021864,-2.5548444,-2.3223038,-2.7150316,-2.7426353,-2.6878657,-3.866964,3.4804242,-2.638917,-1.398985,-2.946973,3.3107855,-2.2317915,2.9048603,1.9676112,-2.2029073,2.6142669,-2.4575691,2.83973,-2.2433715,-0.6820218
<http://xmlns.com/foaf/0.1/phone>,-1.1999375,2.2772205,1.8402113,2.9110246,2.2141545,1.7766452,1.2683648,2.0959494,1.6028962,1.8912469,1.9845674,-1.3244236,-0.8261755,-2.3317308,2.1510751,-3.3055847,-2.8293054,1.7468766,-0.4031844,1.2721947,-1.8082466,2.668338,0.9630466,-2.7833967,-0.8390993,-1.4031826,2.7256715,-2.8095834,3.044598,-1.9902393,1.1162194,-2.7827814
<http://linkedgeodata.org/ontology/source>,-2.0139465,-0.37962207,1.8462728,-3.1943295,2.9490845,3.4865515,2.980192,1.6713029,-1.182295,2.4826493,-0.39184794,1.613119,-1.9882209,-1.9041655,-2.6101124,2.8453581,-0.7331398,-2.8963299,1.3645959,1.8274608,2.4120755,-1.8929193,-2.4640982,-3.1733532,2.1526995,-2.8800247,-2.41144,2.3614142,1.8700318,-1.6425563,-2.752965,-2.328983
<http://linkedgeodata.org/ontology/wheelchair>,0.16969535,-3.7828214,0.85594904,-1.1070201,-0.63273686,1.9516708,-2.543472,-3.648002,-0.736236,-2.1987102,-1.6873449,-2.6395335,-3.513194,-2.4603498,-1.1887918,-4.879744,2.0826461,-0.8426949,0.6255103,3.0222087,-4.9089494,-2.9229035,2.3122163,1.1128979,4.7393565,0.61475503,1.6911137,3.8377364,0.4917028,3.5019815,1.6209201,-2.5692968
<http://linkedgeodata.org/ontology/opening_hours>,-2.8091173,1.094323,1.3315744,-1.9527588,-1.9531193,-1.2939745,-2.686611,0.53738886,3.0710523,1.2739424,1.3705617,-1.8224136,-1.5129657,-2.1242719,-2.0080209,-3.1231716,-2.7738008,-3.1008039,1.8287606,0.9603592,-1.1764348,-0.04806378,-3.5494037,-0.83345336,1.4814178,-2.981478,-2.4299269,-2.150247,0.4743688,1.6535279,2.0697262,-2.735667
<http://www.w3.org/1999/02/22-rdf-syntax-ns#comment>,1.39237,1.823589,1.2773395,2.7027023,2.975857,2.1675198,-3.119594,-1.1798844,-1.4171156,-0.25024268,1.8312315,-1.4276575,1.9042864,0.3826233,-1.284343,0.98138857,-2.5761445,-2.2344928,2.1332932,2.1194217,-2.6352787,2.630318,2.4625535,3.8552816,1.8465463,0.1964431,-0.3593409,1.2558765,1.6190811,-2.9908094,1.6585093,2.7137797
<http://xmlns.com/foaf/0.1/homepage>,-1.3100401,1.9154891,-0.8261087,1.1872467,-2.4057388,2.127484,-0.31491956,3.2570174,2.4268274,1.6340374,0.59360296,-4.3961735,-1.4517047,0.40094104,-2.823655,0.1293247,-2.5024173,0.22867574,-1.30424,-2.5178497,-1.5672235,2.5884252,2.1813405,1.7273769,1.7079928,2.4515061,2.0082648,-3.2720277,1.1478397,2.6461349,2.6195219,-0.8376389
<http://linkedgeodata.org/ontology/ref%3Avatin>,3.0702817,-1.3136859,-1.1280869,-1.6720251,-3.1966226,0.33380538,-1.7710255,1.9625129,0.46630466,1.4853091,-0.9794933,-0.949526,0.3242945,-0.4332676,-1.270728,2.0100124,-1.588864,3.50944,-1.2072719,-0.9243238,-1.1536193,-0.85013837,-3.1856463,2.9572983,0.45026898,0.6760325,1.0684944,-2.2452369,0.72038597,1.6979911,3.1153948,0.37173858
<http://linkedgeodata.org/ontology/officialName>,0.13653968,-1.1453629,2.038034,1.658016,0.106173486,-1.3852375,-4.2723827,1.3393071,-3.57561,-1.783281,-0.44625953,-0.78633827,0.57535905,2.4312851,1.5815611,2.585397,2.0072045,-1.5289191,-3.2859013,-3.4896913,0.11338768,3.3344994,-0.44425803,-2.1790187,-0.3900388,-1.3009841,3.3411424,0.26971483,-1.1119543,1.4765152,-0.9536694,-0.9757324
<http://linkedgeodata.org/ontology/second_hand>,-2.7787478,1.39186,2.837121,-1.308439,-1.1168278,-1.9626294,1.1383986,-2.4886484,-1.2132632,-1.0316505,1.0312775,-1.5169815,0.30243066,1.1686171,-3.024168,-0.00240967,0.18301962,-2.5871089,3.499934,4.5973372,0.5521958,-0.18558602,-2.0127034,-0.020479549,-0.030094821,-0.97140026,-1.2541718,3.1017158,0.28431746,2.2557278,0.50738686,-0.9450337
<http://linkedgeodata.org/ontology/level>,-0.16544385,-3.6463153,0.4025389,-1.0862304,-0.7249813,2.0597918,-2.5912926,-3.198031,-0.88876855,-1.870509,-1.5686083,-2.9501977,-3.4267612,-2.3053398,-1.1772474,-3.925219,1.9633694,-0.5476577,1.4383084,3.1010363,-4.8410854,-2.4495854,2.137915,0.94434494,4.4212894,0.65189993,1.7251949,4.044809,0.49906027,3.7265568,1.3059295,-1.8267056
<http://linkedgeodata.org/ontology/entrance>,-4.7151303,2.418416,0.42550963,-3.3245595,0.3083371,-1.5567182,2.3401597,-3.7357013,-2.9255424,-0.58422303,-1.5931392,-1.7114892,1.8206573,1.4569795,-1.3909413,0.6600317,1.1556472,-4.911568,2.8460014,4.8061547,-1.0488124,-1.1844537,-0.3051224,-1.0625582,0.3094888,-0.9871694,0.25494602,3.4788306,-0.7209498,2.4754689,2.635439,2.7262988
<http://linkedgeodata.org/ontology/addr%3Aunit>,1.2345147,0.9566872,-4.6351027,-1.499548,-2.0766916,2.065894,-0.5462178,-2.566037,-0.23570089,4.4593015,-1.301206,1.2113012,-1.3110638,1.0564073,-1.6997582,-3.6125598,-0.753564,1.3213017,0.39924273,0.9536131,-0.46931034,-0.6750832,-0.23537372,1.0056903,0.64596254,1.4188926,-3.5170321,0.47221333,4.185576,1.143826,-2.015075,1.2184116
<http://linkedgeodata.org/ontology/todo>,-3.2977824,0.18811506,3.9255247,-1.2919863,2.5925686,-1.8749526,1.6208453,-3.1805782,-2.5043826,0.27954513,-0.37583256,-0.93651754,0.8982541,0.6217968,-0.2098371,-1.8098674,0.91141206,-2.7786694,-0.77990925,3.1930637,-0.79481775,-1.0050706,-0.3899026,-1.2445035,2.3419855,-0.4337385,-2.1139867,3.059205,0.7422225,1.8331085,0.9118346,2.7221148
<http://linkedgeodata.org/ontology/outdoor_seating>,-4.1878905,2.079749,1.2878053,-2.7360413,0.7976991,-1.77188,3.1704416,-3.0884664,-0.4269232,-1.4957736,-0.3627073,0.14420515,1.484053,0.03759285,-0.90009063,-0.8270516,1.8486558,-3.884005,1.9966011,4.1402917,0.71766496,-2.0846636,-1.7686837,-0.9104178,1.5182883,-2.4404917,0.20567577,3.3811936,-0.4621772,0.84197915,2.403229,1.9162958
<http://linkedgeodata.org/ontology/name%3Adistillery>,1.0522058,-1.4125909,1.2586147,-2.1714525,-0.1192722,-2.440125,-1.1579955,-2.5117145,-1.0293769,-1.7731494,-3.0494497,1.8022888,-0.23515317,-1.8121022,2.6155112,-2.1617134,-1.0854278,-1.3599085,-3.0843341,-1.1406261,-3.0791962,-0.70953315,-3.4721954,-0.9316287,-0.8229798,-2.7747378,-0.6659242,-1.9368039,2.7443092,1.4151119,1.1235155,-1.561644
<http://linkedgeodata.org/ontology/microbrewery>,-3.9911597,2.0208457,1.614824,-3.0289261,0.24061415,-1.5130069,2.3397038,-3.4724176,-2.3628278,-0.39472425,-1.3861337,-1.157736,2.0443857,0.5998946,-1.4080777,-0.31708813,1.5146047,-4.8493667,2.2257378,5.222965,-0.31314886,-2.143656,-0.97624856,-0.1358884,1.6556008,-2.6838055,0.05686501,2.8526886,-0.49725676,1.9239329,1.931129,2.4209576
