,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,2.0464206,0.28367665,-1.2843454,-3.2084596,1.6752765,-2.0078166,1.9203794,0.27305996,2.2322824,0.5845314,1.2271041,1.2989962,-3.2449565,2.3986642,-2.593047,-3.0686529,-0.97093093,-2.9565353,0.7392385,-1.966386,-2.5630283,2.1468627,0.3623793,1.6603638,3.015188,1.6087041,0.9806548,1.3303052,2.1638203,1.7064881,1.4071343,3.0716617
<http://linkedgeodata.org/ontology/version>,-3.747029,-3.6713674,-0.63738877,3.6454203,2.2537382,0.7808522,-4.8652587,6.693054,-2.027668,3.1748822,-0.9019163,-2.7616706,0.0643221,-1.9884428,0.6392338,2.8685849,-1.5616711,-3.3160303,0.4387525,-4.030647,2.1889186,3.0061836,-1.0012205,2.5323796,0.6965358,1.0520307,1.487,2.2133634,-2.426378,1.982995,-1.4934541,1.9076295
<http://purl.org/dc/terms/modified>,-2.617103,2.633759,-1.4728137,-3.8236234,-2.3576376,1.6404808,-1.1000235,-0.9494399,0.28989595,0.26624817,2.3456235,-0.7566088,1.4252428,-2.7128513,-2.5503998,-2.7851887,-2.0487552,0.3812962,-3.2079153,-2.3535075,-2.6505742,-1.1522422,2.0072758,-2.3387394,1.2025573,2.5760677,-2.2916925,3.0033205,-1.5779047,2.0749655,1.6510304,-2.132284
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,1.8076943,2.006715,2.939192,3.2217257,-2.5550835,-1.9740374,0.15585603,2.4880767,-3.1893497,3.437391,-2.5778685,-2.4926443,2.1551363,-2.881798,-1.6854213,2.180979,3.5293546,3.5133357,-4.951691,-4.0409894,-2.7712915,2.7135823,-3.005463,-3.1706612,-2.772394,3.6588418,2.0774295,2.1024911,-3.8093383,-2.720687,-2.549866,-3.2495503
<http://linkedgeodata.org/ontology/changeset>,2.219061,-2.7350335,-2.6284,1.4463183,-1.7573103,3.0119824,-2.6113555,2.738028,0.21694385,2.5384073,2.3974214,2.393329,2.5694702,-2.4049587,-3.0256672,-1.808433,2.046654,2.18731,3.1067283,-2.8583384,1.9363589,3.0585592,3.3642926,-3.1851616,2.992297,3.6525831,2.0955293,-1.5722541,-2.181204,-1.9241533,-2.1710796,1.5705122
<http://geovocab.org/geometry#geometry>,-1.5564475,1.5967387,-1.01945,-0.7696019,0.7005327,0.51833177,0.60438824,0.6758702,2.60053,-1.4636958,-1.7185221,2.4323568,-2.7870796,2.6772974,0.6814552,-3.293558,1.6676806,1.1160232,-0.7001304,1.7075331,-3.0206554,-1.2787265,-0.3002257,1.8731078,-0.85029584,-2.0835598,-1.3120567,-1.2215955,-1.8205223,-1.7571753,-1.925455,-1.8766749
<http://linkedgeodata.org/ontology/gadmSameAs>,-1.0445472,-1.9524766,-2.159569,-1.2522366,-1.5431137,2.5447168,3.0047224,2.4319878,1.3960603,1.9839864,1.2773801,1.2618248,-2.274253,-1.3032707,-0.6141662,2.3965828,1.968869,-2.2230918,2.8389254,-2.0164227,-2.132548,2.5146246,-1.5717348,-2.2468302,-1.1120669,-1.5978457,-2.981289,-2.2595286,-1.663752,-1.6885952,-1.4146591,1.8370882
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,-0.8247403,-2.8203065,0.8889356,0.4405144,0.6866699,-1.5477811,2.6920485,-2.6779273,-1.7320235,-2.1106634,0.76108414,2.3463733,-2.7165592,-0.6490042,-1.5069295,-2.329186,-1.1425399,1.6952944,2.3895931,2.3445914,-2.689727,3.5478268,2.1742458,-1.5418389,1.4320037,2.203434,-1.8832806,-2.7469416,0.18823795,-1.076204,2.0504925,2.3882878
<http://purl.org/dc/terms/contributor>,-2.501574,0.54790616,2.003052,2.6275837,0.8446353,1.983212,-2.7830856,-1.2726808,-2.3899233,3.51246,3.545806,3.7153144,2.6373248,2.7845714,-3.1535811,2.3390253,-3.2253728,2.5164125,-3.83685,2.1295664,2.4796445,-2.4808025,2.5906596,1.9342915,-3.3245,2.5048337,-1.8719682,-1.6522429,1.6978451,-2.85676,1.7883564,2.5274296
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atype>,3.7905073,-2.6037183,-1.9612848,-3.0538776,3.0432837,3.2178795,-3.6632466,2.9916275,-2.06415,-3.3186748,-1.4973117,1.7353096,2.8054109,-2.6036098,-2.9413846,-2.2252817,3.0764053,2.66903,-3.0803576,3.7097008,2.6270053,-3.418464,-2.0555763,-3.2574937,2.9217274,-3.0674658,1.6923177,2.3804617,2.7261434,3.064241,2.0134542,-4.2032933
