,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ayield>,3.441307,2.6639633,-3.0004041,-4.265989,2.591458,-3.1473022,3.6340408,2.2762053,3.8280795,-0.6264751,2.543604,-0.034795854,-3.3409514,2.8204188,-5.3764343,-4.5404897,0.05230376,-2.8260157,0.22305654,-1.394583,-3.4677942,2.3375325,0.66468847,1.725596,4.224967,1.8601118,3.4263473,-0.34362155,1.3666228,2.1804135,2.2349846,3.1542714
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atime%3Autc>,-0.5039664,1.2350968,-2.8487706,-0.41780105,2.3374755,2.3017452,-2.2489703,2.06698,-0.8311931,3.462252,2.4764404,-4.622499,-3.9549165,-2.4599347,-0.90236056,1.2185961,-0.49974275,-2.1772568,-1.943995,-2.6716037,1.1649368,3.030919,-2.5989382,3.1439166,2.0348535,2.731499,3.3244324,0.31733015,-4.3472433,3.0478215,-1.7484188,2.357604
<http://linkedgeodata.org/ontology/nuclear_explosion%3Apurpose>,-3.3695009,4.671098,-3.2647707,-4.6683884,-3.9226255,2.4852989,-3.1437943,-1.6571137,-1.9507844,1.9451983,3.8246677,-2.2923577,3.6098123,-3.1533992,-4.166786,-3.7938225,-2.5010319,3.3652203,-4.677268,-2.240298,-3.5421503,-2.2746835,2.9071908,-3.5448353,3.0988157,2.8664937,-2.8178923,3.222131,-4.52015,2.7498484,2.2869706,-4.443168
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,2.6189227,4.6589384,1.9173037,2.8026965,-0.52249146,-1.9421952,2.1755092,1.039839,-1.2280482,3.0490177,2.50828,-4.0234356,0.67938745,-2.1947484,-2.9734628,1.344101,5.214172,3.378429,-2.526592,-0.6270455,-2.9399147,2.4380295,-1.5284734,-1.8928525,-2.2968712,2.5169642,2.4735458,-0.16521242,-4.0086136,-1.649745,-0.55162513,-4.3871455
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,3.3615413,-0.28128335,-3.4563816,0.24587773,-2.3597174,2.3709567,-1.4299333,2.6685693,1.9960289,2.0800965,2.7046933,-2.6078033,2.524129,-1.8880943,-4.2896166,-2.6237156,3.7793465,2.9429817,3.222695,-1.4672887,1.1455698,4.0550604,2.605938,-2.8589942,3.060846,2.9389644,1.4240234,-3.135699,-1.7540822,-1.9723738,-1.668751,-0.06704336
<http://geovocab.org/geometry#geometry>,-0.19842693,3.265306,-2.2748563,-1.6141632,0.8108592,-0.15247743,1.7730167,1.9759314,3.046698,-0.9471041,-0.75594056,1.4976397,-2.8300405,2.7706366,-0.85471195,-4.3001437,3.6124449,1.4991524,-1.5163841,2.6592767,-3.7843106,-1.2148856,-0.5187164,1.4482025,-0.7262663,-2.5419724,0.18753144,-2.8623874,-3.4973652,-2.337285,-2.1395988,-3.3859258
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adate%3Autc>,-0.5020169,-0.21261223,-0.75142515,-2.169928,-1.9602329,3.1339917,3.579034,3.9450538,2.6367533,2.5305483,2.0232646,0.62875885,-2.767315,-1.6974583,0.37513348,2.5639281,4.6116843,-1.9403646,3.356831,-1.0741942,-2.634653,3.1693718,-2.3621557,-2.8680923,-1.3945748,-2.2946358,-2.6305983,-4.4922523,-3.8774195,-2.8184416,-1.8452184,0.48324624
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asite>,-1.3891827,-2.567519,2.1934516,1.9570749,2.4309099,-3.1764262,3.8216443,-3.6073768,-3.259393,-3.4023068,2.2082047,2.7598498,-3.3969061,-1.510003,-3.917785,-3.8968992,-1.1893815,3.7079775,2.984676,4.7362394,-3.7545135,4.435157,2.8559196,-2.6698244,3.2377927,3.541758,-2.6555324,-5.2455072,-2.3955522,-3.4160395,2.036659,2.593037
<http://purl.org/dc/terms/modified>,-1.238333,3.8987176,-1.4415634,0.9759757,0.56834257,2.5898058,1.9448143,-1.8478523,-1.1020404,3.1910632,3.3674989,0.94189966,2.7271109,3.4111948,-3.3283377,1.9703014,-1.8273653,2.922005,-3.7460642,3.2451646,3.2074742,-2.6236768,2.417978,3.1826563,-3.772208,1.6439404,-2.0709069,-3.519396,0.8639069,-3.4109406,3.1082237,2.1796973
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ahole>,5.0989,1.9098134,0.37875205,-0.8996845,-1.5714226,-1.447868,-1.6628119,0.5990169,-3.2002108,2.115787,-0.57338,-1.4127172,2.3517594,2.973853,-5.4123573,-2.8798182,3.3316548,2.3960686,2.0382109,3.637024,0.2267821,-2.4030368,-2.9735765,-1.051136,-0.7526235,-1.6416055,4.296636,-3.153315,1.8987571,2.7842875,2.0231605,-2.994302
