,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aground_zero_altitude>,-0.094045915,-4.0554376,-0.2972485,-0.98265207,-1.2834923,-2.8514113,3.5490677,0.42807016,-2.2611647,-3.529222,-0.13368024,5.2563696,-1.171316,3.3816369,-2.676476,-3.4162283,-8.195483,1.2979199,1.9107977,2.8301818,-0.9679633,0.86240625,-0.30067417,-2.08831,3.7320957,0.4220283,2.7505276,-5.1804743,-1.1476912,0.44006908,1.7004592,6.3764815
<http://linkedgeodata.org/ontology/nuclear_explosion%3Apurpose>,-3.6100514,-7.357484,-2.9701831,2.5441206,3.1785889,2.977257,-3.1629267,3.1564176,-3.199417,3.0251236,2.2600508,-3.1110973,-4.259345,-2.7797418,1.8918277,3.5493379,-5.0791388,-3.6950443,-0.7172279,-4.1866446,4.023289,3.333513,-3.2726934,-2.4187644,3.179626,2.8515131,2.796603,3.2925909,-3.0093648,3.8662672,-3.0928218,4.8661246
<http://linkedgeodata.org/ontology/version>,-3.7191625,-1.8818567,-2.4105442,-3.606255,-4.296724,-4.869993,-2.1877718,-1.0977902,-2.7615442,-5.6366134,1.0373818,5.79628,1.8179227,1.4188477,-3.6840801,-3.6252081,-7.4765434,0.3301421,-0.45534325,0.31365284,-1.4857109,-2.8544798,-0.99570036,-4.4254436,1.6526338,0.7652762,0.74023443,-5.6259437,-3.118466,-0.46951893,0.5071774,2.6898685
<http://linkedgeodata.org/ontology/nuclear_explosion%3Acountry>,1.4358288,1.7675425,4.735924,4.0095987,3.963414,-3.7297115,3.301017,3.246146,-3.4659262,3.4467113,-1.2130225,-2.8559551,3.4647644,-2.5388818,-3.4499602,3.6545753,3.1077747,3.9546332,-2.1451633,-4.1203723,-3.0463572,3.504242,-3.8936212,-4.509877,-3.3788633,3.1684916,3.5447164,2.5788147,-3.0938032,-4.0593953,-4.1886134,-3.1244557
<http://linkedgeodata.org/ontology/gadmSameAs>,2.4783192,-4.2678113,-2.1303215,1.3824104,-2.3132424,3.8157704,-2.0326273,2.9086914,-0.115432926,0.6540807,1.47784,2.4621158,2.2315364,-1.4853734,-3.0875652,-1.1281519,-0.39242953,1.8153687,4.780177,-3.9801662,3.1982749,3.4767048,3.2482295,-4.622164,3.2937815,3.5643923,1.485526,-2.0030875,0.19772911,-1.4053901,-2.6195023,4.7543325
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-4.2875247,0.24155314,-3.4794028,0.9982819,1.9628317,3.1188176,-4.815576,3.6751838,3.3177567,-3.1297898,-4.3932314,5.0896535,-3.350267,3.906316,-3.019657,-4.407914,2.052494,2.8646634,-2.9181204,3.38622,-2.5599775,-3.270673,-4.2665715,3.4146824,-2.381943,-4.122818,-3.1265388,-2.239659,-2.8547668,-3.518894,-4.7725267,-2.2073858
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,-2.0214753,-4.934075,-0.73010296,-2.5285044,-1.87555,3.6046565,3.307468,3.2653189,1.496943,1.3882985,1.229363,3.547641,-3.0746176,-0.3298746,-1.5775429,3.2188878,0.11859791,-3.0926168,4.3725705,-2.449001,-0.14437589,2.7574193,-2.9120188,-4.128101,-1.7610798,-2.2719002,-3.9232078,-3.8726127,-1.3769937,-1.8710399,-3.759117,4.4177237
<http://www.w3.org/2000/01/rdf-schema#label>,-0.92744666,-5.170992,0.17617755,0.7758862,-2.019967,-1.9690609,3.6885502,-1.4780531,-3.788739,-5.175069,-1.7222954,5.092574,-0.59441936,0.43630052,0.8245167,-4.7627163,-6.138121,3.5356596,1.0703074,2.1526563,0.79343873,1.0224109,1.727501,-3.3540566,2.3640363,0.3680897,0.30265227,-4.905623,-0.3216994,-0.7172101,-0.7416281,6.1233187
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adate%3Autc>,-1.5148559,0.5721241,1.487545,1.351641,0.49990278,2.9039702,-0.748415,-2.4761484,-0.97269475,1.9535122,2.546529,3.4519248,2.288562,4.3488736,-0.5460765,1.7486894,-5.613973,1.414905,-1.7465988,0.9641101,4.7204676,-2.5625248,3.2554064,1.2700138,-3.6907637,1.4123182,-3.7369747,-3.170614,3.649701,-0.64235413,2.026485,6.224967
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atype>,4.2042575,-4.7203407,-3.024594,-3.1200373,3.1698704,4.0866055,-3.6899517,3.2591028,-3.3976698,-4.0811834,2.2190018,-0.8808891,3.3638978,-2.1437256,-3.4126656,-3.1588943,1.8391434,2.7929478,-2.464597,3.784462,4.3135424,-4.263211,-3.2381947,-4.8786345,3.0853193,-4.0868354,3.1036105,1.3717763,4.301411,3.740829,2.6575892,-3.6407692
