,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asalvo>,1.3162593,-1.0004786,-1.0678142,-3.3510394,1.920323,-3.1465657,2.1558797,1.4675767,2.5004706,-2.1959891,2.141847,2.6925545,-2.8616154,2.644728,-3.3504264,-3.5795379,-2.1234002,-2.925037,-1.207824,-2.3906302,-3.0053616,3.3241343,-0.20915256,1.3107578,3.6127353,1.7930673,2.1712484,2.0145724,2.300905,2.0207493,1.0629389,3.3564913
<http://linkedgeodata.org/ontology/changeset>,-3.0944645,-1.1705126,-2.272433,-0.7795473,2.2532969,1.3830318,-2.178216,2.8032439,-2.5919032,2.1728008,1.2510188,-3.051946,-1.6909643,-2.9143565,1.601907,1.9586604,-2.1038065,-2.349703,0.71962833,-3.2592518,2.116102,2.739522,-2.8990412,2.305876,2.5122702,2.185988,2.5054939,2.8186965,-3.3317466,2.9454508,-2.4891632,2.4677584
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asite>,-3.3121524,2.8962717,-1.5549207,-3.7248666,-2.7739642,2.115446,-2.1763277,-1.05681,-2.2636514,0.8700928,2.7084117,-2.3224063,2.8147795,-3.049533,-2.8832667,-2.841991,-2.8506968,1.125,-3.750414,-2.6112714,-2.3722749,-1.9248145,1.9386116,-2.872647,2.1295412,2.7501073,-2.2184448,3.5783052,-2.8325663,1.1723874,1.9729372,-3.1452508
<http://www.w3.org/2000/01/rdf-schema#label>,-1.2470928,2.4714293,2.1152706,2.3684204,-1.5108501,-2.0916054,1.7839369,-1.4104791,-2.3246615,3.416029,1.818823,-0.7027705,3.262359,-0.019329814,-2.6107974,2.5211973,2.1071553,1.0116538,0.7320345,0.961477,-3.138797,-0.1686872,-1.695178,-1.7335558,-2.5697503,0.19746062,2.3179011,0.17012583,-2.4642887,-1.9310478,1.5394046,-2.3315032
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adate%3Autc>,1.4881998,-1.5758585,-2.5940857,1.1274014,-1.6923478,1.7173741,-1.8039894,1.725078,-0.6876143,2.0446508,2.0226135,-1.5281668,1.8674389,-2.3001888,-2.9022932,-1.460327,1.581709,1.1893965,2.8499029,-2.5335813,1.416668,3.2233593,2.4619231,-2.8791127,2.709328,3.0131657,1.1811804,-0.94843286,0.64864945,-1.4633594,-1.140966,0.5941935
<http://purl.org/dc/terms/contributor>,-3.2101262,1.5905299,-2.158837,-2.6128082,2.2951953,-1.286288,0.67615896,2.5135627,2.6890287,-2.9180055,-2.2164907,2.9467583,-2.7638102,2.8016171,-1.7490947,-4.1933074,2.3714206,2.356958,-2.2266164,2.9212224,-3.0951128,-1.3799462,-2.6658094,1.8422122,-1.31513,-2.5278082,-0.7867908,-0.7539961,-2.6621695,-3.1201558,-3.524472,-3.1253128
<http://linkedgeodata.org/ontology/version>,-2.7961478,-2.3211122,-2.1692333,-3.8219228,-1.3965083,2.4066567,3.173621,2.9615886,0.44664332,2.3535092,0.14154004,3.045601,-1.3504761,-2.3636088,1.716205,3.0862012,2.834957,-2.6745555,3.0119855,-1.5420685,-3.4285052,2.3636348,-2.767808,-2.7970808,-3.6893167,-1.7663671,-2.4516282,-2.4408307,-3.5158975,-2.8624864,-1.7485113,-3.399274
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,-0.7735512,-2.8600118,1.6270072,0.638291,0.6670304,-1.5746222,2.3763757,-3.0990477,-2.0190625,-2.1271112,0.6902692,1.873749,-1.8079879,0.3061264,-1.8784003,-2.3597777,-1.4223584,1.9503809,1.5743202,2.3158815,-2.9267066,2.9907963,1.6350473,-2.1117296,1.833855,2.3770566,-1.6282687,-2.584495,0.22264992,-0.41395673,1.9226551,2.3516467
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aseries>,-2.3543963,2.3230264,1.9387704,2.019569,1.1185201,1.9235904,1.222306,-2.6216474,-2.3926141,2.8563933,2.6121924,2.4483938,3.049483,2.699279,-2.9924233,2.4954703,-3.3781455,2.3708067,-3.2472794,2.6741612,3.6945975,-2.9827402,2.4448407,2.563501,-3.7278833,2.6143374,-2.2257226,-2.1580517,1.8000273,-3.3919437,2.7628818,2.967164
<http://linkedgeodata.org/ontology/gadmSameAs>,3.4778771,-1.1360008,-0.42471388,-2.125625,1.5412188,1.8302102,-2.025542,1.0672432,-0.8549847,-0.09368041,0.25764963,-0.2760484,2.169357,-2.0638306,-2.2499151,-1.776687,2.374801,1.7208425,-1.6099433,2.426443,1.1029657,-2.6018643,-1.0564977,-2.4563422,2.1616604,-2.1251154,1.2377335,0.9775465,2.192221,2.9589312,2.0250175,-3.3435843
