,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://www.w3.org/2000/01/rdf-schema#label>,-1.6794931,0.24127394,0.51354337,-4.109825,-0.74419737,-0.5552678,-1.9250611,-1.2291646,-0.78028995,0.39725342,2.5200443,0.17993774,-0.29903868,0.10759765,0.48522314,-3.7993937,2.0962625,-1.2819953,2.930578,-2.3318353,0.69334704,-1.6273997,0.13297151,-4.041673,-2.5995595,2.871623,2.5368783,-0.23413233,0.23004897,2.5504792,-3.4526381,-1.9806317
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,2.6504254,-1.1095817,4.15642,-1.9316642,2.7760093,2.513836,-2.6691644,2.890509,-1.951512,-2.804135,-3.4325025,-2.387292,2.8760989,2.5176961,2.4582193,-3.1474514,3.0514061,2.5981197,3.1356874,-1.9853946,-2.6998665,-2.9874713,-2.1485746,3.13964,-3.142588,-2.808801,2.6373665,-2.3447978,3.1924937,3.040001,-3.2035437,-2.5730276
<http://linkedgeodata.org/ontology/version>,1.6780343,-3.420819,-3.4546187,0.36339158,-2.1245146,2.8089678,-1.3431076,-1.9655076,-3.0139074,-1.9936411,2.516296,2.453934,2.0042202,2.423217,-3.1835103,-3.573192,3.1204891,-1.0783682,6.259064,2.7505271,3.291355,4.3862643,1.0213444,-3.0459945,0.8172709,-2.1936684,2.5394337,3.4717858,-3.117182,-2.6558003,-2.7806542,2.323599
<http://purl.org/dc/terms/modified>,2.1955385,2.676806,1.3407009,2.3557308,0.52966213,2.4276483,-1.9006962,0.6833281,2.8649766,-1.7533007,-2.0834653,1.8087251,-1.755133,-0.23546936,-3.9594724,-2.9334981,1.6478194,-1.0256754,-1.9600655,1.4803313,-0.6438105,2.0885103,2.8662574,-1.9143851,-2.693729,-1.9569886,2.2410233,-3.6996176,0.61014324,2.637791,1.1431422,1.5408233
<http://geovocab.org/geometry#geometry>,2.2365017,3.0071974,-2.3656542,-2.0673823,0.58169043,1.6847621,-1.4311326,-2.0069244,-2.0943494,-1.3109729,-1.5145886,-0.29517964,2.5386012,-1.7110337,-0.9421742,1.478399,-3.1488774,-2.1482415,-1.1009961,-2.8885918,1.59937,-2.7456968,3.337212,-1.451816,-0.6597475,1.7004945,-0.08310065,-1.814449,-1.0489868,1.5334482,1.0225899,-1.3200387
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,2.386229,2.8671122,-0.28638095,2.6481106,1.5538355,-2.4854288,1.080239,-2.211685,-2.0123065,2.3787744,-1.3927071,-2.0957797,-2.0326717,1.9088014,2.0208972,2.8323815,2.272198,1.0434768,-2.8900623,1.3074932,-1.6217409,-2.8066878,-1.7903452,1.2862103,0.48367247,-0.5056423,-2.091273,-1.850863,2.6906633,2.5741436,2.2050145,0.5989003
<http://linkedgeodata.org/ontology/gadmSameAs>,-3.253756,-1.9037181,3.0793848,-2.9159853,-2.3693476,-0.6575658,-1.3168406,2.894675,1.6095946,2.181063,1.2876065,-1.8943622,-1.4143996,1.1929668,0.11106083,-2.3139277,1.2674844,2.1977909,-0.4485148,1.7640716,1.7197609,0.5329599,-2.4178102,-1.7501844,-1.5507288,2.5054383,1.1345735,-1.721251,-2.5859373,-2.4884012,2.1387208,1.9344646
<http://linkedgeodata.org/ontology/changeset>,-3.670415,2.8904505,-2.9711616,1.7271574,2.2775526,-2.9624898,2.2027078,2.3318014,2.4449267,1.9807765,-2.9024494,2.5566854,-2.1023014,-2.8858025,1.2825947,2.4476783,2.8770034,-3.2596083,-0.25904483,2.3102198,1.5666345,2.7332904,-2.047985,2.108636,-3.0225248,2.9545407,2.824259,2.8368523,2.5381823,-2.340434,1.5342413,2.5138547
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,2.1310701,1.7884792,3.5661933,2.180677,-1.9740723,-3.009742,4.049528,-1.6498119,-2.5942698,-1.731619,-0.14042877,-1.2659426,1.8555232,3.156849,1.5789303,-3.00506,1.1893063,-1.1872267,1.8659402,2.2905216,1.7483081,-0.4143576,0.19114088,-0.35362807,0.10660433,-1.2507821,1.6839893,1.8019698,-2.1658702,2.217748,1.0848664,-1.718652
<http://purl.org/dc/terms/contributor>,-2.024326,-2.4551365,-2.723093,-1.8847144,3.1435323,2.4578536,2.249847,-1.8500249,-2.6848717,-2.6768887,-2.527125,-3.054218,3.001061,1.2108647,-2.944795,2.3774588,-1.6238269,2.4319208,2.714429,-2.499078,-2.939353,2.4980924,-2.4871984,3.3343048,-3.1757267,-2.4887104,-2.333539,2.9765475,-1.4506944,-2.7821994,-2.390388,1.9557271
