,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
<http://linkedgeodata.org/ontology/nuclear_explosion%3Acountry>,-2.5846138,2.6871579,2.362647,3.8651192,2.9771218,-3.0310502,-3.1702745,4.728899,-2.2532732,2.8248262,-2.6596541,2.8361695,2.5332632,-3.239844,3.2211998,-2.887464,-2.6514997,-2.5469837,-4.6427684,3.5932496,-2.7033179,3.0798879,3.6031957,2.7996418,-3.502692,2.6743228,3.5729988,2.8484952,0.7882651,-1.8752431,3.4406826,-2.639434
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,3.257918,-0.5946223,1.7535725,1.1511236,2.0775244,-0.16553736,-1.4398516,1.1010565,-0.4814131,-0.36353418,-1.4770766,2.4796484,0.62462294,3.3295507,-3.2503247,1.3987968,-1.078113,-1.5402244,-2.2313585,-2.1353555,0.6276039,2.1273844,-1.711774,-0.80474675,-0.875043,-4.121771,-2.9385073,1.4694474,2.0747705,2.1015499,3.021466,2.0644598
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,-3.2589438,2.6467137,-3.9245064,2.8987992,2.3701506,2.4157026,-2.4420524,2.733571,-2.543841,2.607243,2.8304682,2.007642,3.2981317,2.9735692,3.2681777,2.4429107,-3.2172961,-2.5224087,-2.934049,3.887463,-2.7368093,2.610196,-2.3672762,-2.941969,-2.616899,3.0811186,-2.8720646,-4.5459414,2.5285223,-1.8781563,-2.6208544,2.3749723
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atime%3Autc>,1.8412364,-0.21476565,2.6984563,1.1655185,-1.9089978,-1.8181056,1.9473622,1.9712903,2.0926535,-2.2997093,1.8277129,0.88754606,1.3278105,-0.8383096,-3.2298207,-1.4779294,2.321686,-1.4747442,0.3445568,-2.4145908,1.5542384,1.0952507,2.3523166,-1.5853014,1.917421,0.9158263,-3.6582525,-3.0931485,1.9559624,-1.8183358,-1.6895292,-2.1084952
<http://linkedgeodata.org/ontology/nuclear_explosion%3Atype>,-2.8466282,-4.9740634,-2.8753653,-2.1561296,-2.6398027,-3.7470462,-2.2761698,-3.1116278,-3.0761194,-2.3626432,-0.9053661,-1.7384946,3.9013553,-2.1754556,2.7096066,-2.9570057,-2.3385801,-1.8946148,-3.7341294,-2.352295,2.5027273,2.7296755,-2.7487319,2.7396288,2.853274,-2.9332838,3.1635797,-2.64348,-2.8685765,-2.3341103,-3.7206726,-2.8724616
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asite>,3.0286741,-2.798096,-3.087813,3.651751,-2.9010482,-2.9463768,-2.3828397,-2.6294417,2.772449,-2.8194852,-2.270454,-2.6315873,2.5042732,-1.652811,2.1526558,3.147667,-2.6116066,2.9724586,4.192105,-2.8531418,-2.4142652,-1.7243044,1.6140177,-2.7945578,-1.3674034,3.3218472,3.0064464,2.5776658,-1.3897237,2.4403093,2.8954325,2.534672
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adate%3Autc>,1.5165458,-3.3506272,-0.44459212,-0.7476203,-2.8102136,2.1827998,2.3713741,1.0325961,1.098588,1.7005446,-1.3874735,-0.2548393,-0.89627767,2.7781882,0.42067462,-2.9421308,1.8911923,-0.95256865,-2.5729384,-2.9333375,2.8191006,-1.566312,1.6073579,-1.0844814,-0.37314796,-2.4096472,1.9398551,2.8974621,-1.4879394,2.7245452,-1.6192269,1.5198548
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ahole>,1.5029151,0.31984472,0.4811567,-2.3428874,-1.428807,1.5139618,2.1066763,-1.0934594,3.175749,0.36459205,-1.0409732,-1.3493924,2.2341394,-2.0148048,-3.8032982,-0.5910747,-2.2302716,-2.0608418,-2.941518,2.1812603,-1.6462171,-0.35525522,-0.106413044,-2.5280004,2.853741,2.341789,-2.0239549,1.3453763,-0.45237294,-0.14121027,3.7661994,3.664262
<http://linkedgeodata.org/ontology/version>,3.4746993,3.13044,-2.92516,-2.294941,-2.86647,-3.1971207,-1.2551894,-1.7092842,-0.20140007,-3.4860458,2.5957363,-2.8980467,-3.1890886,-3.0214233,0.3298847,-1.2277381,-3.6972375,-2.3476286,-3.1522367,2.5499728,0.7658697,-0.96948075,-0.34158793,2.9186242,-1.857025,6.517723,-4.117854,-1.8540093,-0.21286362,4.1516814,-0.771619,1.7603533
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aseries>,2.8780503,2.4633837,-2.754333,-0.33336225,-2.9911458,-2.9443345,-2.9599066,2.533939,-3.767666,-2.1837249,2.8441832,-2.1292806,-2.3770134,3.731253,2.3138397,-2.9624324,2.2170184,3.5391974,3.596361,-3.172353,1.6460974,-1.8116902,2.4618363,-1.9940116,-2.7421923,2.4421835,2.18169,3.0670664,-1.223232,-2.7626264,2.7344506,2.2248466
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ashot_name%3Aen>,0.7817319,1.7983619,-1.7305219,0.8437198,0.034340862,3.4716074,-1.5595052,-1.0465167,3.5506973,0.17279899,2.5577343,0.018842932,0.8624054,-0.40467194,-3.985644,0.009434476,-3.328295,-1.637288,-1.2346307,3.3840966,-0.75847447,1.9235446,1.0798048,-2.0310163,-0.17013596,2.8848996,-0.95521766,-2.1992078,3.1024907,3.358424,3.232689,1.1946406
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,-1.6086752,-2.107253,2.2145295,2.250479,2.191576,-2.8524907,2.5310397,1.6959392,2.6088722,2.146603,0.73607546,3.0155275,-1.6471003,2.5764778,1.5014981,-1.9763453,-1.7430533,0.33349964,-2.3087792,2.1539774,2.510172,1.5532321,1.7145922,0.32148892,2.4362397,2.1171541,-1.080662,1.5891767,2.6796694,-1.4521897,-0.91187435,-1.5117617
<http://www.w3.org/2000/01/rdf-schema#label>,0.7963897,1.7447975,-1.6535063,0.65241075,0.048259493,3.6417148,-1.5320902,-0.9797123,3.5182548,0.2220137,2.5770853,-0.042794008,0.87605935,-0.3458084,-3.967522,-0.11396014,-3.3725224,-1.6596339,-1.2994055,3.3406615,-0.86345625,1.8897488,1.1468415,-1.9071792,-0.25219837,2.872834,-0.85893524,-2.0849228,2.9995425,3.3758316,3.231023,1.1535921
<http://linkedgeodata.org/ontology/changeset>,2.029812,-2.6131785,1.649016,-4.1627975,-3.1847315,-2.796178,-1.7704729,1.9833093,-2.0273588,-3.5008001,-2.8526795,1.9432529,2.8231268,-2.089069,-1.8224208,2.7232814,2.3454785,0.5386933,2.7770545,-1.7520328,-2.269716,-1.4737635,-2.2410862,3.2649717,-2.5178068,-2.3188255,0.10665843,-3.208507,3.375602,-1.3769467,3.8878314,-2.9426847
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aground_zero_altitude>,-0.4967837,3.0521815,-0.7803217,-0.924777,-2.2391348,0.49893227,0.42300013,-1.6069472,1.8017169,-2.481727,2.5567002,-0.18029155,1.4585735,0.9520662,-2.7188377,0.76970077,-5.5184593,-0.26341873,0.19453445,4.0529265,-1.1821144,1.953479,0.4494524,0.56241494,-0.86415553,3.715985,-1.8992779,1.4544125,2.9478366,3.2047472,4.073813,2.929529
<http://purl.org/dc/terms/modified>,-1.2468203,-2.5283854,-0.57489866,-2.1446831,1.8371134,2.603671,-1.7915969,-1.9229202,-1.1238819,-2.4118638,1.3257374,1.2751212,2.7199216,0.90913707,-2.4999917,3.0544567,1.2324401,2.454493,-1.5977024,3.9505556,2.4018784,2.3235052,-0.9752462,-2.44938,2.9055712,-3.0118496,-1.8353386,1.9037988,-2.4782023,2.410852,0.37420535,-2.4972396
<http://geovocab.org/geometry#geometry>,-2.3429482,0.6719296,2.7367282,1.6508621,-0.43669784,2.0953472,1.7781936,-0.80839765,-1.0089356,1.0937005,-0.6014603,-0.9117896,-1.6517118,2.7189214,0.35440567,-1.5628192,2.2888362,1.8547536,1.7747334,1.3820988,-1.8512889,0.8454253,-1.5450658,1.0899831,1.9060473,-1.7392992,-1.5815356,-1.6840491,1.9081659,2.0989463,2.4855003,-2.6337752
<http://linkedgeodata.org/ontology/nuclear_explosion%3Apurpose>,-2.2304196,3.0127344,-1.9677341,-3.8382096,2.3747787,3.5691442,3.3437018,4.3009467,-3.760959,2.6972668,-3.6799145,4.1226144,-2.9715087,3.9799438,-4.125109,-0.83142376,-2.2805328,4.0985823,2.7190034,3.1198776,3.0155985,4.834087,-0.3947846,-3.820734,0.47606897,2.3969162,-2.5953116,-3.3754842,-0.8663028,-2.0111055,2.9127953,3.2385294
<http://purl.org/dc/terms/contributor>,-2.1966813,-3.3121321,1.4581007,-2.6287477,-2.4890425,-2.7020776,2.6347294,1.7373282,2.0441084,-3.1317103,-4.5050125,-1.3943337,3.1079392,-2.4877043,2.2792306,2.1403255,1.7893739,2.454831,2.1302178,1.4807909,-1.8261896,-3.1245372,-2.0446877,2.4986875,1.6148447,3.723319,-3.2182586,-0.106173,-1.278347,-1.5879099,3.9306722,-4.720736
<http://linkedgeodata.org/ontology/gadmSameAs>,1.7686101,-1.6881403,-0.9768108,-1.3178576,1.9729518,-1.9278114,2.3322074,-0.83827585,-1.4215442,-1.7928823,2.3349366,2.284737,-1.0762618,-1.7553632,0.80266297,1.4822364,-1.8899289,-1.5739224,1.9055429,1.1152188,-1.8375584,-2.6022875,1.638644,-2.0383525,-2.4998384,-3.0925195,1.6818341,-2.4334235,-1.828914,1.3440763,3.255079,0.11532554
<http://linkedgeodata.org/ontology/nuclear_explosion%3Aheight_of_burst>,1.5335549,2.521515,-0.98883975,-0.13564155,-0.7240814,-1.0624975,-1.0224487,0.8565684,0.16657963,-2.015536,2.7907095,-2.3971672,-2.1367779,-0.25284258,-0.6874476,0.6669902,-4.3327956,-2.0281718,-1.7049477,3.3597398,-1.6820785,1.3336204,1.8433362,1.100355,0.22985953,3.5246933,-2.13859,1.5604643,2.6734462,3.2420754,1.6466681,1.2997702
<http://linkedgeodata.org/ontology/nuclear_explosion%3Abody_wave_magnitude>,-2.0730798,2.7107825,2.1590796,2.9285023,2.2473903,-3.3194664,-1.2969187,1.646405,-2.3689144,2.0730755,-1.9977576,-1.7104176,0.8383355,-1.9988259,-1.3580486,-2.2915165,-1.8114407,-2.0481844,-2.0482392,-2.9090343,-2.0411456,-1.4089309,-1.7477901,-2.9581244,-2.1599877,-3.0811388,1.1542752,-3.3772347,1.900755,2.1160543,-2.7248027,-1.7397412
<http://linkedgeodata.org/ontology/nuclear_explosion%3Awarhead>,-3.806633,-0.9643367,1.3561925,2.1640835,-1.4971823,2.7786734,1.866472,1.7702278,2.4354267,2.4851425,-2.7533538,2.5891702,2.5253484,2.3768632,1.8295244,-2.2124522,-3.64157,-2.0642064,-1.0994847,2.2016854,1.7226462,2.6527073,-1.7926542,-4.208518,0.15491192,2.1146436,2.9224205,3.7611048,-1.5967472,2.2256455,2.0761564,2.2861593
<http://linkedgeodata.org/ontology/nuclear_explosion%3Ayield>,-1.5184911,0.71111697,2.115227,-2.264652,1.1447618,2.6212661,-2.1065333,-1.2926258,3.8047123,-2.4694736,0.78061223,-3.277614,1.8363616,-2.4690142,1.4109929,-2.7374623,2.9297519,2.3967884,2.992069,2.9569583,-1.5187969,0.889035,-1.304203,1.653728,2.3710427,2.856883,1.6450206,2.9726589,3.1155286,2.4699266,-2.8472567,-0.3647797
<http://G.org/Pnr>,0.97603387,-2.3671155,-1.031669,-2.2572937,2.3050077,2.978472,-1.4328002,-1.71427,-2.9333904,-1.8895227,-0.7972221,1.8842552,0.6053689,1.8680714,2.7487304,-1.3299432,1.5123501,1.7791125,0.68256944,0.7572632,-1.3354186,-0.015461622,3.501956,1.4193397,0.45788246,1.0574613,0.8060603,2.036458,1.8554534,0.6986711,2.694202,2.6963246
<http://linkedgeodata.org/ontology/source>,1.3689089,4.462481,-3.0388439,-4.569932,-2.8864098,2.2125776,1.7498783,1.578087,-2.9293213,1.2049348,0.24404363,-3.57463,2.1198046,4.6468883,3.0151513,-0.79876006,-2.6071358,-3.2600849,-1.2155994,-2.0184133,0.7451108,-0.33392036,0.9297159,1.1011411,3.341275,1.9891268,-3.6976476,-0.24561922,-2.0303211,-1.5182344,-0.6566574,1.6149018
<http://linkedgeodata.org/ontology/nuclear_explosion%3Asalvo>,3.7461112,-1.4299862,-2.8570218,2.468055,0.97427744,-2.6136153,-3.388995,-2.5760617,-2.6481655,-3.302671,-1.5097961,3.8522372,-3.728225,1.0527452,-1.8064083,-3.7734694,-3.2639668,3.8640223,-3.42243,3.275115,2.3289678,-2.7916052,-3.8480773,2.4378805,-2.6524818,-3.2314239,3.7609684,-2.9879825,1.0592477,-2.7547472,-3.3368208,2.3716824
<http://linkedgeodata.org/ontology/nuclear_explosion%3Adevice>,0.7910855,1.6369021,3.8664064,-2.2000377,-2.2025433,-1.1965486,1.7996054,-1.9223713,-1.6150265,3.6535983,-2.110532,1.65905,-3.0150414,-2.2746165,2.4124858,1.3487256,2.881629,-2.643935,1.6632848,-1.8172799,1.4214641,-1.6901251,0.6849115,-3.924886,-0.10029679,2.203575,1.5278201,-0.75402015,0.5541687,-2.5837293,0.5454696,1.0143405
<http://mWt.org/>,0.2931016,-0.38106006,1.7228281,-2.7654126,2.7925563,0.1631667,-2.5819242,-2.3892074,-0.41608584,1.7599648,1.9087317,-2.2141142,1.5930244,-3.6863866,-2.9788315,-2.5758164,2.058169,2.874659,-1.1352676,-0.80304295,-1.9583086,-1.7446444,0.49765337,-0.74525636,-1.2622374,1.6017011,-0.56850034,-3.438948,2.4453812,2.6658924,-1.7351222,-2.2732315
<http://goOr.org/glIYsKdDGxsJaBPyS>,1.7149135,2.455947,-1.3468571,1.8593729,-1.5339164,0.6088364,-1.9836321,1.3049171,1.6078726,-2.6434677,0.94686764,0.87714624,-0.55157554,2.7469454,0.52854824,2.6372726,-0.14981927,-1.3293141,1.1406392,0.3538549,-1.1836985,1.0364654,0.5900113,-0.0103417225,1.209627,-5.528731,-2.004562,-1.7751443,0.1255901,-0.06757063,1.7490566,-3.8243487
<http://ZFXgvSqiQMBkdey.org/EeqgykuiniiC>,1.8522927,-1.4875125,2.5438583,0.60329735,0.7572208,-0.18027577,-0.14136787,-0.33950442,3.0921817,2.832777,-2.6089108,-0.07838708,-2.1221535,-1.1918318,-1.551159,2.813679,2.1414583,-0.18331054,1.7863063,-0.9403548,2.2947953,-0.6009064,-1.3234619,-1.5376788,-1.1266229,0.9163235,-2.9969783,1.1413887,3.8011572,0.97067416,-0.6442696,-1.5292704
<http://PbwQeAUkJqXDN.org/lplYEBqdyZTUcx>,1.2619117,-0.36108026,1.1014171,-0.44084316,0.67644024,-0.58973473,2.2166877,0.26594794,0.065634765,1.1420108,2.522456,-2.0500736,0.41935492,-0.03066048,0.45427704,1.333435,1.5376711,-2.4621565,-1.1371489,-2.2441115,1.1655496,2.3185327,0.9877438,-1.4553936,1.3921424,-0.4819635,1.2367337,-0.8403631,0.66723144,0.42556685,1.4234368,-0.592327
